artist	main_genre
30101	rock
191027	electronic
2894727	pop
1814395	classical
1434983	jazz
34743	electronic
2819100	country
1071877	electronic
928302	rock
3019989	rock
1181513	electronic
2491237	jazz
2955359	electronic
472876	hip-hop/rap
139694	r&b/soul
175618	electronic
1008902	rock
1130917	country
2616005	classical
577993	pop
436314	electronic
1792768	rock
626313	hip-hop/rap
78017	rock
169110	electronic
3700209	classical
1898956	electronic
394198	rock
2684691	jazz
3588008	rock
1567767	classical
1123669	rock
89311	hip-hop/rap
2023652	rock
46916	hip-hop/rap
220251	electronic
3261992	electronic
3429597	pop
2074072	rock
481701	pop
816415	rock
2515606	hip-hop/rap
62513	pop
1572653	rock
680973	electronic
2138215	rock
898178	hip-hop/rap
332909	classical
78149	rock
1502631	country
418413	electronic
91303	classical
182231	pop
304169	electronic
3100373	pop
2351395	pop
121597	alternative
274060	hip-hop/rap
2314089	rock
843008	electronic
185846	classical
2664450	electronic
859870	electronic
62400	alternative
2813088	electronic
897296	country
1724624	country
3046144	rock
2416628	pop
151399	electronic
2647672	jazz
1498796	electronic
693606	jazz
1413189	classical
57306	country
388931	jazz
1826029	electronic
1147694	country
1299274	pop
719509	latin
746524	electronic
470851	hip-hop/rap
26461	alternative
502127	hip-hop/rap
2516946	electronic
4198328	electronic
759390	pop
16468	electronic
598742	rock
2965774	rock
142476	pop
502392	rock
696763	alternative
2168669	alternative
1194881	country
3549808	alternative
3467910	rock
161946	electronic
926062	rock
2543599	electronic
121257	electronic
116481	rock
1942486	rock
264913	hip-hop/rap
2378651	electronic
1894173	reggae
5003282	rock
853348	rock
27539	pop
1393117	pop
23837	pop
2832251	electronic
24761	hip-hop/rap
171970	rock
391552	dance
985814	electronic
1502619	country
1249997	electronic
1297048	latin
865349	alternative
709371	classical
1725560	rock
2469187	electronic
542760	electronic
1677615	hip-hop/rap
1390625	pop
161496	electronic
1804681	hip-hop/rap
3450852	hip-hop/rap
2553543	reggae
2749260	r&b/soul
3031260	rock
794036	jazz
180085	latin
947899	electronic
2812831	rock
406999	pop
2887574	electronic
1655621	hip-hop/rap
2754592	electronic
3149123	rock
237569	hip-hop/rap
2899068	pop
2127835	classical
3390978	hip-hop/rap
712387	pop
60938	electronic
1379431	classical
1366683	rock
5047213	blues
973554	classical
892001	r&b/soul
2467447	latin
2113162	rock
2765192	hip-hop/rap
123149	jazz
51482	electronic
1803082	r&b/soul
2009118	rock
656443	r&b/soul
468457	rock
2141517	electronic
509324	rock
1521140	pop
2602146	rock
2484063	rock
906541	classical
2606	rock
405598	latin
33137	pop
313778	rock
1403835	rock
115613	alternative
312561	pop
191000	country
967215	latin
66621	hip-hop/rap
265830	electronic
77299	pop
765608	electronic
1548277	rock
738196	r&b/soul
288510	rock
2637560	rock
813262	rock
233356	latin
1924567	rock
261663	electronic
2453779	alternative
1276516	alternative
230666	rock
187621	rock
1186214	latin
78572	rock
1723126	rock
290828	alternative
825786	rock
1016365	pop
382149	hip-hop/rap
408117	rock
149332	r&b/soul
6906	hip-hop/rap
2015672	rock
3884776	electronic
930625	rock
927864	rock
1427805	country
757267	classical
399851	rock
139815	rock
1498863	classical
1402774	electronic
392187	r&b/soul
1749815	electronic
135627	rock
588722	rock
111180	rock
1017741	country
